GWID,STATENAME,FROM,TO,GROUP,SFE_GROUP_ID,CHILD_OF,PARENT_OF,DIVISION,EPR_GROUP_ID,MAR_GROUP_ID,OFFICER_RELATIVE,OFFICER_SOURCEQUAL,OFFICER_LOWER,OFFICER_UPPER,RANK_FILE_RELATIVE,RANK_FILE_SOURCEQUAL,RANK_FILE_LOWER,RANK_FILE_UPPER
645,Iraq,2004,2011,Shi'a Arabs,645-SHI,,,1,64502000,64506,3,2,50,70,3,1,60,70
645,Iraq,2004,2011,Sunni Arabs,645-SAR,645-SUN,,1,64503000,64507,3,2,20,40,3,1,20,30
645,Iraq,2004,2011,Sunnis,645-SUN,,"645-SAR, 645-KUR",0,,,3,2,30,50,3,1,30,40
645,Iraq,2012,2013,Kurds,645-KUR,645-SUN,,1,64501000,64504,3,2,10,20,3,1,10,20
645,Iraq,2012,2013,Shi'a Arabs,645-SHI,,,1,64502000,64506,4,2,60,80,3,1,60,70
645,Iraq,2012,2013,Sunni Arabs,645-SAR,645-SUN,,1,64503000,64507,2,2,10,20,3,1,20,30
645,Iraq,2012,2013,Sunnis,645-SUN,,"645-SAR, 645-KUR",0,,,2,1,20,40,3,1,30,40
651,Egypt,1946,2013,Coptic Christians,651-COP,,,1,65102000,65101,2,2,0,10,3,2,0,20
651,Egypt,1946,2013,Sunni Muslims,651-SUN,,,1,65101000,,4,2,90,100,3,2,80,100
652,Syria,1946,1963,Alawi,652-ALA,,,1,65203000,65201,4,3,10,30,4,2,20,50
652,Syria,1946,1963,Christians,652-CHR,,,1,65204000,,2,1,0,10,4,2,10,30
652,Syria,1946,1963,Druze,652-DRU,,,1,65201000,65203,4,1,0,20,-99,-99,0,10
652,Syria,1946,1963,Kurds,652-KUR,,,1,65206000,65202,-99,-99,-99,-99,-99,-99,-99,-99
652,Syria,1946,1963,Sunni Arabs,652-SUN,,,1,65202000,,3,3,50,60,2,2,30,50
652,Syria,1964,1966,Alawi,652-ALA,,,1,65203000,65201,4,1,30,50,4,2,30,80
652,Syria,1964,1966,Christians,652-CHR,,,1,65204000,,-99,-99,0,10,-99,-99,0,30
652,Syria,1964,1966,Druze,652-DRU,,,1,65201000,65203,-99,-99,0,20,-99,-99,0,10
652,Syria,1964,1966,Kurds,652-KUR,,,1,65206000,65202,-99,-99,-99,-99,-99,-99,-99,-99
652,Syria,1964,1966,Sunni Arabs,652-SUN,,,1,65202000,,2,1,30,50,2,2,20,50
652,Syria,1967,2011,Alawi,652-ALA,,,1,65203000,65201,4,2,50,80,4,2,40,80
652,Syria,1967,2011,Christians,652-CHR,,,1,65204000,,-99,-99,0,10,-99,-99,0,30
652,Syria,1967,2011,Druze,652-DRU,,,1,65201000,65203,-99,-99,0,20,-99,-99,0,10
652,Syria,1967,2011,Kurds,652-KUR,,,1,65206000,65202,-99,-99,-99,-99,-99,-99,-99,-99
